"Group_name","IU_ID","IU_ID2","Coverage Group"
"1_2","18945","ETH18945","2"
"1_1","34260","NAM34260","1"
"2_2","18775","ETH18775","2"
"2_1","2174","AGO02174","1"
"3_2","7472","CMR07472","2"
"3_1","44325","SSD44325","1"
"4_1","34275","NAM34275","1"
"4_2","18571","ETH18571","2"
"5_2","54069","KEN54069","2"
"5_1","36449","NGA36449","1"
"6_2","40183","SEN40183","2"
"6_1","16428","GNQ16428","1"
"7_2","42257","SLE42257","2"
"7_1","53211","SDN53211","1"
"8_2","18884","ETH18884","2"
"8_1","50848","ZMB50848","1"
"9_2","3259","BEN03259","2"
"9_1","36586","NGA36586","1"
"10_2","54120","KEN54120","2"
"10_1","14001","COD14001","1"
"11_2","42263","SLE42263","2"
"11_1","10686","TCD10686","1"
"12_2","54056","KEN54056","2"
"12_1","44387","SSD44387","1"
"13_2","19099","ETH19099","2"
"13_1","13852","COD13852","1"
"14_2","54070","KEN54070","2"
"14_1","13963","COD13963","1"
"15_2","54253","KEN54253","2"
"16_2","6379","BDI06379","2"
"16_1","36912","NGA36912","1"
"17_2","52936","ZWE52936","2"
"17_1","36903","NGA36903","1"
"18_2","21554","GHA21554","2"
"18_1","15404","CIV15404","1"
"19_2","7429","CMR07429","2"
"19_1","15365","CIV15365","1"
"20_2","27879","MDG27879","2"
"20_1","14290","COD14290","1"
"21_1","20376","GAB20376","1"
"21_2","19052","ETH19052","2"
"22_1","14302","COD14302","1"
"22_2","18915","ETH18915","2"
"23_1","49802","UGA49802","1"
"24_1","49799","UGA49799","1"
"25_2","21427","GHA21427","2"
"26_2","42259","SLE42259","2"
"27_2","54254","KEN54254","2"
"28_1","36525","NGA36525","1"
"28_2","18633","ETH18633","2"
"29_1","33134","MOZ33134","1"
"29_2","21516","GHA21516","2"
"30_2","27873","MDG27873","2"
"30_1","15409","CIV15409","1"
"31_1","36837","NGA36837","1"
"31_2","46547","TZA46547","2"
"32_1","35336","NER35336","1"
"33_2","21601","GHA21601","2"
"33_1","36620","NGA36620","1"
"34_2","46553","TZA46553","2"
"34_1","36824","NGA36824","1"
"35_2","19303","ETH19303","2"
"35_1","36889","NGA36889","1"
"36_1","49748","UGA49748","1"
"37_2","18656","ETH18656","2"
"37_1","2167","AGO02167","1"
"38_1","36719","NGA36719","1"
"38_2","53003","BFA53003","2"
"39_2","18657","ETH18657","2"
"40_1","10716","TCD10716","1"
"40_2","19324","ETH19324","2"
"41_1","35331","NER35331","1"
"42_2","21507","GHA21507","2"
"43_1","36787","NGA36787","1"
"43_2","18555","ETH18555","2"
"44_1","36881","NGA36881","1"
"45_1","35305","NER35305","1"
"46_1","51897","TZZ51897","1"
"46_2","51897","TZZ51897","2"
"47_2","54048","KEN54048","2"
"48_2","40166","SEN40166","2"
"48_1","48704","TGO48704","1"
"49_2","21471","GHA21471","2"
"49_1","36565","NGA36565","1"
"50_2","18650","ETH18650","2"
"51_1","49766","UGA49766","1"
"52_1","33133","MOZ33133","1"
"52_2","27885","MDG27885","2"
"53_1","37108","NGA37108","1"
"53_2","5340","BFA05340","2"
"54_1","33217","MOZ33217","1"
"55_1","33212","MOZ33212","1"
"56_2","46618","TZA46618","2"
"56_1","36931","NGA36931","1"
"57_1","35309","NER35309","1"
"58_2","46511","TZA46511","2"
"58_1","37042","NGA37042","1"
"59_1","2201","AGO02201","1"
"59_2","18692","ETH18692","2"
"60_2","21424","GHA21424","2"
"61_2","18644","ETH18644","2"
"62_2","21474","GHA21474","2"
"63_1","36700","NGA36700","1"
"63_2","19281","ETH19281","2"
"64_1","49732","UGA49732","1"
"64_2","49732","UGA49732","2"
"65_1","36786","NGA36786","1"
"66_1","36892","NGA36892","1"
"67_1","26829","LBR26829","1"
"68_1","28953","MWI28953","1"
"68_2","28953","MWI28953","2"
"69_1","37045","NGA37045","1"
