"Group_name","IU_ID","IU_ID2"
"1","SDN53225","SDN53225"
"1","SDN53226","SDN53226"
"1","SDN53227","SDN53227"
"1","SDN53228","SDN53228"
"1","SDN53229","SDN53229"
"1","SDN53230","SDN53230"
"1","SDN53231","SDN53231"
"1","SDN53232","SDN53232"
"1","SDN53233","SDN53233"
"1","SDN53234","SDN53234"
"1","SDN53235","SDN53235"
"1","SDN53236","SDN53236"
"1","SDN53237","SDN53237"
"1","SDN53238","SDN53238"
"1","SDN53239","SDN53239"
"1","SDN53240","SDN53240"
"1","SDN53241","SDN53241"
"1","SDN53242","SDN53242"
"1","SDN53243","SDN53243"
"1","SDN53244","SDN53244"
"1","SDN53245","SDN53245"
"1","SDN53246","SDN53246"
"1","SDN53247","SDN53247"
"1","SDN53248","SDN53248"
"1","SDN53249","SDN53249"
"1","SDN53250","SDN53250"
"1","SDN53251","SDN53251"
"1","SDN53252","SDN53252"
"1","SDN53253","SDN53253"
"1","SDN53254","SDN53254"
"1","SDN53255","SDN53255"
"1","SDN53256","SDN53256"
"1","SDN53257","SDN53257"
"1","SDN53258","SDN53258"
"1","SDN53259","SDN53259"
"1","SDN53260","SDN53260"
"1","SDN53261","SDN53261"
"1","SDN53263","SDN53263"
"1","SDN53264","SDN53264"
"1","SDN53265","SDN53265"
"1","SDN53266","SDN53266"
"1","SDN53267","SDN53267"
"1","SDN53268","SDN53268"
"1","SDN53269","SDN53269"
"1","SDN53270","SDN53270"
"1","SDN53271","SDN53271"
"1","SDN53272","SDN53272"
"1","SDN53273","SDN53273"
"1","SDN53274","SDN53274"
"1","SDN53275","SDN53275"
"1","SDN53276","SDN53276"
"1","SDN53277","SDN53277"
"1","SDN53278","SDN53278"
"1","SDN53279","SDN53279"
"1","SDN53287","SDN53287"
"1","SDN53288","SDN53288"
"1","SDN53290","SDN53290"
"1","SDN53291","SDN53291"
"1","SDN53292","SDN53292"
"1","SDN53293","SDN53293"
"1","SDN53294","SDN53294"
"1","SDN53297","SDN53297"
"1","SDN53298","SDN53298"
"1","SDN53299","SDN53299"
"1","SDN53300","SDN53300"
"1","SDN53301","SDN53301"
"1","SDN53302","SDN53302"
"1","SDN53303","SDN53303"
"1","SDN53304","SDN53304"
"1","SDN53305","SDN53305"
"1","SDN53306","SDN53306"
"1","SDN53307","SDN53307"
"1","SDN53308","SDN53308"
"1","SDN53309","SDN53309"
"1","SDN53310","SDN53310"
"1","SDN53311","SDN53311"
"1","SDN53312","SDN53312"
"1","SDN53313","SDN53313"
"1","SDN53314","SDN53314"
"1","SDN53315","SDN53315"
"1","SDN53316","SDN53316"
"1","SDN53317","SDN53317"
"1","SDN53318","SDN53318"
"1","SDN53319","SDN53319"
"1","SDN53320","SDN53320"
"1","SDN53321","SDN53321"
"1","SDN53322","SDN53322"
"1","SDN53323","SDN53323"
"1","SDN53324","SDN53324"
"1","SDN53325","SDN53325"
"1","SDN53326","SDN53326"
"1","SDN53327","SDN53327"
"1","SDN53328","SDN53328"
"1","SDN53329","SDN53329"
"1","SDN53330","SDN53330"
"1","SDN53331","SDN53331"
"1","SDN53332","SDN53332"
"1","SDN53333","SDN53333"
"1","SDN53334","SDN53334"
"1","SDN53335","SDN53335"
"1","SDN53336","SDN53336"
"1","SDN53337","SDN53337"
"1","SDN53338","SDN53338"
"1","SDN53339","SDN53339"
"1","SDN53340","SDN53340"
"1","SDN53341","SDN53341"
"1","SDN53342","SDN53342"
"1","SDN53343","SDN53343"
"1","SDN53344","SDN53344"
"1","SDN53345","SDN53345"
"1","SDN53346","SDN53346"
"1","SDN53347","SDN53347"
"1","SDN53348","SDN53348"
"1","SDN53349","SDN53349"
"1","SDN53350","SDN53350"
"1","SDN53351","SDN53351"
"1","SDN53352","SDN53352"
"1","SDN53353","SDN53353"
"1","SDN53354","SDN53354"
"1","SDN53355","SDN53355"
"1","SDN53356","SDN53356"
"1","SDN53357","SDN53357"
"1","SDN53358","SDN53358"
"1","SDN53359","SDN53359"
"1","SDN53360","SDN53360"
"1","SDN53361","SDN53361"
"1","SDN53362","SDN53362"
"1","SDN53363","SDN53363"
"1","SDN53364","SDN53364"
"1","SEN40149","SEN40149"
"1","SEN40150","SEN40150"
"1","SEN40152","SEN40152"
"1","SEN40154","SEN40154"
"1","SEN40155","SEN40155"
"1","SEN40156","SEN40156"
"1","SEN40157","SEN40157"
"1","SEN40159","SEN40159"
"1","SEN40160","SEN40160"
"1","SEN40161","SEN40161"
"1","SEN40162","SEN40162"
"1","SEN40163","SEN40163"
"1","SEN40164","SEN40164"
"1","SEN40166","SEN40166"
"1","SEN40167","SEN40167"
"1","SEN40168","SEN40168"
"1","SEN40169","SEN40169"
"1","SEN40170","SEN40170"
"1","SEN40171","SEN40171"
"1","SEN40172","SEN40172"
"1","SEN40173","SEN40173"
"1","SEN40174","SEN40174"
"1","SEN40175","SEN40175"
"1","SEN40176","SEN40176"
"1","SEN40177","SEN40177"
"1","SEN40178","SEN40178"
"1","SEN40179","SEN40179"
"1","SEN40180","SEN40180"
"1","SEN40181","SEN40181"
"1","SEN40182","SEN40182"
"1","SEN40183","SEN40183"
"1","SEN40184","SEN40184"
"1","SEN40185","SEN40185"
"1","SEN40186","SEN40186"
"1","SEN40187","SEN40187"
"1","SEN40188","SEN40188"
"1","SEN40189","SEN40189"
"1","SEN40190","SEN40190"
"1","SEN40191","SEN40191"
"1","SEN40192","SEN40192"
"1","SEN40193","SEN40193"
"1","SEN40194","SEN40194"
"1","SEN40195","SEN40195"
"1","SEN40196","SEN40196"
"1","SEN40197","SEN40197"
"1","SEN40198","SEN40198"
"1","SEN40199","SEN40199"
"1","SEN40200","SEN40200"
"1","SEN40201","SEN40201"
"1","SEN40202","SEN40202"
"1","SEN40203","SEN40203"
"1","SEN40205","SEN40205"
"1","SEN40206","SEN40206"
"1","SEN40207","SEN40207"
"1","SEN40208","SEN40208"
"1","SEN40209","SEN40209"
"1","SEN40210","SEN40210"
"1","SEN40211","SEN40211"
"1","SEN40212","SEN40212"
"1","SEN40213","SEN40213"
"1","SEN40214","SEN40214"
"1","SEN40215","SEN40215"
"1","SEN40216","SEN40216"
"1","SEN40217","SEN40217"
"1","SEN40218","SEN40218"
"1","SEN40219","SEN40219"
"1","SEN40220","SEN40220"
"1","SEN40221","SEN40221"
"1","SEN40222","SEN40222"
"1","SEN40223","SEN40223"
"1","SEN40224","SEN40224"
"1","SEN40225","SEN40225"
"1","SEN40226","SEN40226"
"1","SLE42253","SLE42253"
"1","SLE42254","SLE42254"
"1","SLE42255","SLE42255"
"1","SLE42257","SLE42257"
"1","SLE42259","SLE42259"
"1","SLE42260","SLE42260"
"1","SLE42261","SLE42261"
"1","SLE42262","SLE42262"
"1","SLE42263","SLE42263"
"1","SLE42264","SLE42264"
"1","SLE42265","SLE42265"
"1","SLE42266","SLE42266"
"1","SOM56001","SOM56001"
"1","SOM56002","SOM56002"
"1","SOM56003","SOM56003"
"1","SOM56004","SOM56004"
"1","SOM56005","SOM56005"
"1","SOM56006","SOM56006"
"1","SOM56007","SOM56007"
"1","SOM56008","SOM56008"
"1","SOM56009","SOM56009"
"1","SOM56010","SOM56010"
"1","SOM56011","SOM56011"
"1","SOM56012","SOM56012"
"1","SOM56013","SOM56013"
"1","SOM56014","SOM56014"
"1","SOM56015","SOM56015"
"1","SOM56016","SOM56016"
"1","SOM56017","SOM56017"
"1","SOM56018","SOM56018"
"1","SSD44319","SSD44319"
"1","SSD44320","SSD44320"
"1","SSD44321","SSD44321"
"1","SSD44322","SSD44322"
"1","SSD44323","SSD44323"
"1","SSD44324","SSD44324"
"1","SSD44325","SSD44325"
"1","SSD44326","SSD44326"
"1","SSD44327","SSD44327"
"1","SSD44328","SSD44328"
"1","SSD44329","SSD44329"
"1","SSD44330","SSD44330"
