"Group_name","IU_ID","IU_ID2"
"1","ETH19582","ETH19582"
"1","ETH19583","ETH19583"
"1","ETH19584","ETH19584"
"1","ETH19586","ETH19586"
"1","ETH19587","ETH19587"
"1","ETH19588","ETH19588"
"1","ETH19591","ETH19591"
"1","GAB20328","GAB20328"
"1","GAB20329","GAB20329"
"1","GAB20330","GAB20330"
"1","GAB20331","GAB20331"
"1","GAB20332","GAB20332"
"1","GAB20333","GAB20333"
"1","GAB20334","GAB20334"
"1","GAB20335","GAB20335"
"1","GAB20336","GAB20336"
"1","GAB20337","GAB20337"
"1","GAB20338","GAB20338"
"1","GAB20339","GAB20339"
"1","GAB20340","GAB20340"
"1","GAB20341","GAB20341"
"1","GAB20342","GAB20342"
"1","GAB20343","GAB20343"
"1","GAB20344","GAB20344"
"1","GAB20345","GAB20345"
"1","GAB20346","GAB20346"
"1","GAB20347","GAB20347"
"1","GAB20348","GAB20348"
"1","GAB20349","GAB20349"
"1","GAB20350","GAB20350"
"1","GAB20351","GAB20351"
"1","GAB20352","GAB20352"
"1","GAB20353","GAB20353"
"1","GAB20354","GAB20354"
"1","GAB20355","GAB20355"
"1","GAB20356","GAB20356"
"1","GAB20357","GAB20357"
"1","GAB20358","GAB20358"
"1","GAB20359","GAB20359"
"1","GAB20360","GAB20360"
"1","GAB20361","GAB20361"
"1","GAB20362","GAB20362"
"1","GAB20363","GAB20363"
"1","GAB20364","GAB20364"
"1","GAB20365","GAB20365"
"1","GAB20366","GAB20366"
"1","GAB20367","GAB20367"
"1","GAB20368","GAB20368"
"1","GAB20369","GAB20369"
"1","GAB20370","GAB20370"
"1","GAB20371","GAB20371"
"1","GAB20372","GAB20372"
"1","GAB20373","GAB20373"
"1","GAB20374","GAB20374"
"1","GAB20375","GAB20375"
"1","GAB20376","GAB20376"
"1","GAB20377","GAB20377"
"1","GAB20378","GAB20378"
"1","GHA21378","GHA21378"
"1","GHA21380","GHA21380"
"1","GHA21382","GHA21382"
"1","GHA21384","GHA21384"
"1","GHA21386","GHA21386"
"1","GHA21387","GHA21387"
"1","GHA21388","GHA21388"
"1","GHA21389","GHA21389"
"1","GHA21390","GHA21390"
"1","GHA21391","GHA21391"
"1","GHA21393","GHA21393"
"1","GHA21394","GHA21394"
"1","GHA21395","GHA21395"
"1","GHA21397","GHA21397"
"1","GHA21399","GHA21399"
"1","GHA21400","GHA21400"
"1","GHA21402","GHA21402"
"1","GHA21403","GHA21403"
"1","GHA21404","GHA21404"
"1","GHA21405","GHA21405"
"1","GHA21406","GHA21406"
"1","GHA21407","GHA21407"
"1","GHA21408","GHA21408"
"1","GHA21409","GHA21409"
"1","GHA21411","GHA21411"
"1","GHA21412","GHA21412"
"1","GHA21413","GHA21413"
"1","GHA21414","GHA21414"
"1","GHA21416","GHA21416"
"1","GHA21417","GHA21417"
"1","GHA21418","GHA21418"
"1","GHA21419","GHA21419"
"1","GHA21420","GHA21420"
"1","GHA21421","GHA21421"
"1","GHA21422","GHA21422"
"1","GHA21423","GHA21423"
"1","GHA21424","GHA21424"
"1","GHA21427","GHA21427"
"1","GHA21428","GHA21428"
"1","GHA21429","GHA21429"
"1","GHA21430","GHA21430"
"1","GHA21431","GHA21431"
"1","GHA21432","GHA21432"
"1","GHA21433","GHA21433"
"1","GHA21434","GHA21434"
"1","GHA21435","GHA21435"
"1","GHA21436","GHA21436"
"1","GHA21437","GHA21437"
"1","GHA21438","GHA21438"
"1","GHA21439","GHA21439"
"1","GHA21440","GHA21440"
"1","GHA21441","GHA21441"
"1","GHA21443","GHA21443"
"1","GHA21444","GHA21444"
"1","GHA21445","GHA21445"
"1","GHA21446","GHA21446"
"1","GHA21447","GHA21447"
"1","GHA21448","GHA21448"
"1","GHA21450","GHA21450"
"1","GHA21451","GHA21451"
"1","GHA21453","GHA21453"
"1","GHA21454","GHA21454"
"1","GHA21455","GHA21455"
"1","GHA21456","GHA21456"
"1","GHA21457","GHA21457"
"1","GHA21459","GHA21459"
"1","GHA21460","GHA21460"
"1","GHA21461","GHA21461"
"1","GHA21463","GHA21463"
"1","GHA21465","GHA21465"
"1","GHA21468","GHA21468"
"1","GHA21471","GHA21471"
"1","GHA21472","GHA21472"
"1","GHA21473","GHA21473"
"1","GHA21474","GHA21474"
"1","GHA21476","GHA21476"
"1","GHA21477","GHA21477"
"1","GHA21478","GHA21478"
"1","GHA21480","GHA21480"
"1","GHA21481","GHA21481"
"1","GHA21482","GHA21482"
"1","GHA21483","GHA21483"
"1","GHA21484","GHA21484"
"1","GHA21485","GHA21485"
"1","GHA21487","GHA21487"
"1","GHA21488","GHA21488"
"1","GHA21489","GHA21489"
"1","GHA21490","GHA21490"
"1","GHA21492","GHA21492"
"1","GHA21493","GHA21493"
"1","GHA21496","GHA21496"
"1","GHA21497","GHA21497"
"1","GHA21498","GHA21498"
"1","GHA21500","GHA21500"
"1","GHA21501","GHA21501"
"1","GHA21503","GHA21503"
"1","GHA21505","GHA21505"
"1","GHA21506","GHA21506"
"1","GHA21508","GHA21508"
"1","GHA21509","GHA21509"
"1","GHA21510","GHA21510"
"1","GHA21511","GHA21511"
"1","GHA21512","GHA21512"
